dstport,protocol,tag
1,tcp,sv_p1
2,tcp,sv_p2
3,tcp,sv_p3
4,tcp,sv_p4
5,tcp,sv_p5
6,tcp,sv_p6
7,tcp,sv_p7
8,tcp,sv_p8
9,tcp,sv_p9
10,tcp,sv_p10
11,tcp,sv_p11
12,tcp,sv_p12
13,tcp,sv_p13
14,tcp,sv_p14
15,tcp,sv_p15
16,tcp,sv_p16
17,tcp,sv_p17
18,tcp,sv_p18
19,tcp,sv_p19
20,tcp,sv_p20
21,tcp,sv_p21
22,tcp,sv_p22
23,tcp,sv_p23
24,tcp,sv_p24
25,tcp,sv_p25
26,tcp,sv_p26
27,tcp,sv_p27
28,tcp,sv_p28
29,tcp,sv_p29
30,tcp,sv_p30
31,tcp,sv_p31
32,tcp,sv_p32
33,tcp,sv_p33
34,tcp,sv_p34
35,tcp,sv_p35
36,tcp,sv_p36
37,tcp,sv_p37
38,tcp,sv_p38
39,tcp,sv_p39
40,tcp,sv_p40
41,tcp,sv_p41
42,tcp,sv_p42
43,tcp,sv_p43
44,tcp,sv_p44
45,tcp,sv_p45
46,tcp,sv_p46
47,tcp,sv_p47
48,tcp,sv_p48
49,tcp,sv_p49
50,tcp,sv_p50
51,tcp,sv_p51
52,tcp,sv_p52
53,tcp,sv_p53
54,tcp,sv_p54
55,tcp,sv_p55
56,tcp,sv_p56
57,tcp,sv_p57
58,tcp,sv_p58
59,tcp,sv_p59
60,tcp,sv_p60
61,tcp,sv_p61
62,tcp,sv_p62
63,tcp,sv_p63
64,tcp,sv_p64
65,tcp,sv_p65
66,tcp,sv_p66
67,tcp,sv_p67
68,tcp,sv_p68
69,tcp,sv_p69
70,tcp,sv_p70
71,tcp,sv_p71
72,tcp,sv_p72
73,tcp,sv_p73
74,tcp,sv_p74
75,tcp,sv_p75
76,tcp,sv_p76
77,tcp,sv_p77
78,tcp,sv_p78
79,tcp,sv_p79
80,tcp,sv_p80
81,tcp,sv_p81
82,tcp,sv_p82
83,tcp,sv_p83
84,tcp,sv_p84
85,tcp,sv_p85
86,tcp,sv_p86
87,tcp,sv_p87
88,tcp,sv_p88
89,tcp,sv_p89
90,tcp,sv_p90
91,tcp,sv_p91
